quadrant,total_count,small_count,medium_count,large_count,size type,latitude,longitude
0:0,754,65,528,161,1,0.0,0.0
0:1,826,70,510,246,1,0.0,9.297563190637049e-05
0:2,819,35,471,313,1,0.0,0.00018595126381274098
0:3,797,25,403,369,1,0.0,0.0002789268957191115
0:4,771,27,482,262,1,0.0,0.00037190252762548195
0:5,786,64,469,253,1,0.0,0.0004648781595318524
0:6,825,73,631,121,1,0.0,0.0005578537914382229
0:7,804,65,593,146,1,0.0,0.0006508294233445933
0:8,815,86,519,210,1,0.0,0.0007438050552509638
0:9,820,46,503,271,1,0.0,0.0008367806871573343
0:10,811,64,598,149,1,0.0,0.0009297563190637047
0:11,814,52,648,114,1,0.0,0.0010227319509700753
0:12,830,74,672,84,1,0.0,0.0011157075828764457
0:13,49,3,42,4,1,0.0,0.0012086832147828162
0:14,0,0,0,0,1,0.0,0.0013016588466891867
1:0,647,44,497,106,1,-9.36022408747137e-05,0.0
1:1,803,30,549,224,1,-9.36022408745901e-05,9.297563190649372e-05
1:2,789,23,529,237,1,-9.360224087446523e-05,0.00018595126381298744
1:3,791,25,525,241,1,-9.36022408743403e-05,0.00027892689571948115
1:4,845,40,518,287,1,-9.360224087421542e-05,0.0003719025276259749
1:5,821,71,555,195,1,-9.360224087409052e-05,0.0004648781595324686
1:6,847,58,657,132,1,-9.360224087396562e-05,0.0005578537914389623
1:7,876,69,655,152,1,-9.360224087384072e-05,0.000650829423345456
1:8,887,88,651,148,1,-9.360224087371582e-05,0.0007438050552519498
1:9,881,68,657,156,1,-9.36022408735909e-05,0.0008367806871584435
1:10,915,50,712,153,1,-9.360224087346603e-05,0.0009297563190649372
1:11,927,39,756,132,1,-9.36022408733411e-05,0.001022731950971431
1:12,930,57,777,96,1,-9.360224087321622e-05,0.0011157075828779246
1:13,55,7,45,3,1,-9.360224087309132e-05,0.0012086832147844182
1:14,0,0,0,0,1,-9.360224087296642e-05,0.0013016588466909119
2:0,833,92,563,178,1,-0.0001872044817494224,0.0
2:1,933,52,680,201,1,-0.00018720448174917333,9.297563190686345e-05
2:2,938,37,699,202,1,-0.00018720448174892353,0.0001859512638137269
2:3,904,77,644,183,1,-0.00018720448174867373,0.00027892689572059034
2:4,907,87,539,281,1,-0.0001872044817484239,0.0003719025276274538
2:5,863,64,600,199,1,-0.00018720448174817415,0.00046487815953431724
2:6,869,47,618,204,1,-0.0001872044817479243,0.0005578537914411807
2:7,866,60,668,138,1,-0.00018720448174767453,0.0006508294233480441
2:8,848,44,635,169,1,-0.0001872044817474247,0.0007438050552549076
2:9,826,68,634,124,1,-0.0001872044817471749,0.000836780687161771
2:10,809,36,645,128,1,-0.00018720448174692513,0.0009297563190686345
2:11,812,30,673,109,1,-0.0001872044817466753,0.001022731950975498
2:12,780,84,563,133,1,-0.0001872044817464255,0.0011157075828823614
2:13,46,4,30,12,1,-0.00018720448174617573,0.001208683214789225
2:14,0,0,0,0,1,-0.0001872044817459259,0.0013016588466960885
3:0,833,391,392,50,1,-0.0002808067226241211,0.0
3:1,835,349,413,73,1,-0.0002808067226237496,9.297563190747961e-05
3:2,891,362,434,95,1,-0.00028080672262337486,0.00018595126381495923
3:3,862,367,419,76,1,-0.00028080672262300016,0.00027892689572243885
3:4,872,312,387,173,1,-0.00028080672262262546,0.0003719025276299185
3:5,898,226,551,121,1,-0.00028080672262225076,0.0004648781595373981
3:6,918,197,602,119,1,-0.0002808067226218761,0.0005578537914448777
3:7,905,212,595,98,1,-0.00028080672262150135,0.0006508294233523573
3:8,922,204,596,122,1,-0.00028080672262112665,0.0007438050552598369
3:9,936,166,648,122,1,-0.000280806722620752,0.0008367806871673165
3:10,933,141,699,93,1,-0.0002808067226203773,0.0009297563190747961
3:11,912,211,608,93,1,-0.00028080672262000255,0.0010227319509822758
3:12,905,390,450,65,1,-0.00028080672261962785,0.0011157075828897554
3:13,51,20,27,4,1,-0.00028080672261925315,0.001208683214797235
3:14,0,0,0,0,1,-0.00028080672261887845,0.0013016588467047146
4:0,665,349,310,6,0,-0.0003744089634988047,0.0
4:1,711,440,269,2,0,-0.00037440896349830497,9.297563190834231e-05
4:2,437,296,132,9,0,-0.0003744089634978054,0.0001859512638166846
4:3,356,200,152,4,0,-0.00037440896349730577,0.0002789268957250269
4:4,439,300,124,15,0,-0.00037440896349680617,0.0003719025276333692
4:5,510,241,250,19,1,-0.0003744089634963066,0.0004648781595417115
4:6,650,243,369,38,1,-0.00037440896349580697,0.0005578537914500538
4:7,794,384,389,21,1,-0.00037440896349530737,0.0006508294233583961
4:8,924,436,474,14,1,-0.0003744089634948078,0.0007438050552667384
4:9,922,510,398,14,0,-0.00037440896349430817,0.0008367806871750807
4:10,834,488,338,8,0,-0.00037440896349380856,0.000929756319083423
4:11,878,575,255,48,0,-0.00037440896349330896,0.0010227319509917654
4:12,827,621,184,22,0,-0.00037440896349280936,0.0011157075829001078
4:13,45,29,16,0,0,-0.0003744089634923098,0.00120868321480845
4:14,0,0,0,0,0,-0.00037440896349181016,0.0013016588467167924
5:0,725,456,269,0,0,-0.00046801120437346813,0.0
5:1,746,598,146,2,0,-0.00046801120437284645,9.297563190945144e-05
5:2,335,260,75,0,0,-0.000468011204372229,0.00018595126381890288
5:3,248,159,88,1,0,-0.0004680112043716113,0.0002789268957283543
5:4,424,293,124,7,0,-0.0004680112043709938,0.00037190252763780575
5:5,551,386,144,21,0,-0.0004680112043703763,0.0004648781595472572
5:6,525,398,115,12,0,-0.0004680112043697587,0.0005578537914567086
5:7,669,527,141,1,0,-0.0004680112043691411,0.0006508294233661601
5:8,827,639,172,16,0,-0.0004680112043685236,0.0007438050552756115
5:9,808,615,151,42,0,-0.00046801120436790596,0.0008367806871850629
5:10,837,593,173,71,0,-0.00046801120436728845,0.0009297563190945144
5:11,902,509,246,147,0,-0.0004680112043666709,0.001022731951003966
5:12,892,377,334,181,0,-0.0004680112043660533,0.0011157075829134173
5:13,49,25,17,7,0,-0.0004680112043654357,0.0012086832148228686
5:14,0,0,0,0,0,-0.00046801120436481826,0.00130165884673232
6:0,733,240,362,131,1,-0.0005616134452481068,0.0
6:1,809,447,295,67,0,-0.0005616134452473603,9.297563191080708e-05
6:2,625,399,192,34,0,-0.0005616134452466179,0.0001859512638216142
6:3,576,287,248,41,0,-0.0005616134452458754,0.00027892689573242127
6:4,722,215,380,127,1,-0.000561613445245133,0.0003719025276432284
6:5,810,159,424,227,1,-0.0005616134452443905,0.00046487815955403546
6:6,804,160,465,179,1,-0.0005616134452436481,0.0005578537914648425
6:7,790,235,382,173,1,-0.0005616134452429056,0.0006508294233756497
6:8,881,275,328,278,1,-0.0005616134452421631,0.0007438050552864568
6:9,884,307,313,264,1,-0.0005616134452414207,0.0008367806871972639
6:10,876,238,302,336,2,-0.0005616134452406782,0.000929756319108071
6:11,884,150,304,430,2,-0.0005616134452399356,0.001022731951018878
6:12,909,142,319,448,2,-0.0005616134452391934,0.001115707582929685
