quadrant,total_count,small_count,medium_count,large_count,size type,latitude,longitude
0:0,1,1,0,0,0,0.0,0.0
0:1,0,0,0,0,0,0.0,9.297563190637049e-05
0:2,0,0,0,0,0,0.0,0.00018595126381274098
0:3,136,63,63,10,0,0.0,0.0002789268957191115
0:4,391,142,207,42,1,0.0,0.00037190252762548195
0:5,406,93,260,53,1,0.0,0.0004648781595318524
0:6,412,167,210,35,1,0.0,0.0005578537914382229
0:7,302,240,53,9,0,0.0,0.0006508294233445933
0:8,167,128,37,2,0,0.0,0.0007438050552509638
0:9,190,180,9,1,0,0.0,0.0008367806871573343
0:10,175,156,19,0,0,0.0,0.0009297563190637047
0:11,103,82,21,0,0,0.0,0.0010227319509700753
0:12,87,81,6,0,0,0.0,0.0011157075828764457
0:13,181,161,20,0,0,0.0,0.0012086832147828162
0:14,205,182,23,0,0,0.0,0.0013016588466891867
0:15,146,119,27,0,0,0.0,0.0013946344785955571
0:16,236,226,10,0,0,0.0,0.0014876101105019276
0:17,231,205,26,0,0,0.0,0.001580585742408298
0:18,279,199,80,0,0,0.0,0.0016735613743146685
0:19,227,153,73,1,0,0.0,0.001766537006221039
0:20,162,104,53,5,0,0.0,0.0018595126381274094
0:21,151,84,52,15,0,0.0,0.00195248827003378
0:22,171,99,62,10,0,0.0,0.0020454639019401506
0:23,160,103,51,6,0,0.0,0.002138439533846521
0:24,140,79,56,5,0,0.0,0.0022314151657528915
0:25,239,153,84,2,0,0.0,0.002324390797659262
0:26,236,167,67,2,0,0.0,0.0024173664295656324
0:27,222,159,60,3,0,0.0,0.002510342061472003
0:28,209,146,62,1,0,0.0,0.0026033176933783733
0:29,184,161,23,0,0,0.0,0.002696293325284744
0:30,174,138,36,0,0,0.0,0.0027892689571911143
0:31,199,149,48,2,0,0.0,0.0028822445890974847
0:32,175,124,51,0,0,0.0,0.002975220221003855
0:33,163,122,41,0,0,0.0,0.0030681958529102256
0:34,161,126,34,1,0,0.0,0.003161171484816596
0:35,158,136,22,0,0,0.0,0.0032541471167229666
0:36,153,125,28,0,0,0.0,0.003347122748629337
0:37,97,51,46,0,0,0.0,0.0034400983805357075
0:38,117,99,18,0,0,0.0,0.003533074012442078
0:39,131,111,20,0,0,0.0,0.0036260496443484484
0:40,111,78,33,0,0,0.0,0.003719025276254819
0:41,101,55,46,0,0,0.0,0.0038120009081611893
0:42,98,46,52,0,1,0.0,0.00390497654006756
0:43,100,65,35,0,0,0.0,0.003997952171973931
0:44,98,79,18,1,0,0.0,0.004090927803880301
0:45,98,83,15,0,0,0.0,0.004183903435786672
0:46,90,80,9,1,0,0.0,0.004276879067693042
0:47,56,53,3,0,0,0.0,0.0043698546995994125
0:48,2,0,2,0,1,0.0,0.004462830331505783
0:49,0,0,0,0,1,0.0,0.0045558059634121535
1:0,0,0,0,0,1,-9.36022408747137e-05,0.0
1:1,0,0,0,0,1,-9.36022408745901e-05,9.297563190649372e-05
1:2,0,0,0,0,1,-9.360224087446523e-05,0.00018595126381298744
1:3,319,89,177,53,1,-9.36022408743403e-05,0.00027892689571948115
1:4,927,133,617,177,1,-9.360224087421542e-05,0.0003719025276259749
1:5,932,171,633,128,1,-9.360224087409052e-05,0.0004648781595324686
1:6,915,361,501,53,1,-9.360224087396562e-05,0.0005578537914389623
1:7,891,445,402,44,0,-9.360224087384072e-05,0.000650829423345456
1:8,840,364,448,28,1,-9.360224087371582e-05,0.0007438050552519498
1:9,844,465,367,12,0,-9.36022408735909e-05,0.0008367806871584435
1:10,772,397,363,12,0,-9.360224087346603e-05,0.0009297563190649372
1:11,699,402,286,11,0,-9.36022408733411e-05,0.001022731950971431
1:12,695,370,312,13,0,-9.360224087321622e-05,0.0011157075828779246
1:13,693,336,322,35,0,-9.360224087309132e-05,0.0012086832147844182
1:14,797,541,237,19,0,-9.360224087296642e-05,0.0013016588466909119
1:15,829,450,363,16,0,-9.360224087284152e-05,0.0013946344785974055
