quadrant,total_count,small_count,medium_count,large_count,size type,latitude,longitude
0:0,609,341,244,24,0,0.0,0.0
0:1,708,376,283,49,0,0.0,9.297563190637049e-05
0:2,739,375,319,45,0,0.0,0.00018595126381274098
0:3,739,355,305,79,0,0.0,0.0002789268957191115
0:4,764,276,435,53,1,0.0,0.00037190252762548195
0:5,796,199,521,76,1,0.0,0.0004648781595318524
0:6,443,131,257,55,1,0.0,0.0005578537914382229
0:7,0,0,0,0,1,0.0,0.0006508294233445933
1:0,700,432,264,4,0,-9.36022408747137e-05,0.0
1:1,404,279,120,5,0,-9.36022408745901e-05,9.297563190649372e-05
1:2,228,141,86,1,0,-9.360224087446523e-05,0.00018595126381298744
1:3,334,239,90,5,0,-9.36022408743403e-05,0.00027892689571948115
1:4,406,283,115,8,0,-9.360224087421542e-05,0.0003719025276259749
1:5,517,308,192,17,0,-9.360224087409052e-05,0.0004648781595324686
1:6,337,203,122,12,0,-9.360224087396562e-05,0.0005578537914389623
1:7,0,0,0,0,0,-9.360224087384072e-05,0.000650829423345456
2:0,755,549,199,7,0,-0.0001872044817494224,0.0
2:1,500,366,128,6,0,-0.00018720448174917333,9.297563190686345e-05
2:2,349,190,141,18,0,-0.00018720448174892353,0.0001859512638137269
2:3,457,213,214,30,1,-0.00018720448174867373,0.00027892689572059034
2:4,620,339,215,66,0,-0.0001872044817484239,0.0003719025276274538
2:5,593,362,192,39,0,-0.00018720448174817415,0.00046487815953431724
2:6,319,215,95,9,0,-0.0001872044817479243,0.0005578537914411807
2:7,0,0,0,0,0,-0.00018720448174767453,0.0006508294233480441
3:0,823,385,351,87,0,-0.0002808067226241211,0.0
3:1,747,464,244,39,0,-0.0002808067226237496,9.297563190747961e-05
3:2,668,365,261,42,0,-0.00028080672262337486,0.00018595126381495923
3:3,805,292,397,116,1,-0.00028080672262300016,0.00027892689572243885
3:4,820,85,470,265,1,-0.00028080672262262546,0.0003719025276299185
3:5,828,79,476,273,1,-0.00028080672262225076,0.0004648781595373981
3:6,430,62,244,124,1,-0.0002808067226218761,0.0005578537914448777
3:7,0,0,0,0,1,-0.00028080672262150135,0.0006508294233523573
4:0,857,164,401,292,1,-0.0003744089634988047,0.0
4:1,933,341,483,109,1,-0.00037440896349830497,9.297563190834231e-05
4:2,725,373,305,47,0,-0.0003744089634978054,0.0001859512638166846
4:3,796,410,327,59,0,-0.00037440896349730577,0.0002789268957250269
4:4,860,286,427,147,1,-0.00037440896349680617,0.0003719025276333692
4:5,878,75,433,370,1,-0.0003744089634963066,0.0004648781595417115
4:6,492,27,273,192,1,-0.00037440896349580697,0.0005578537914500538
4:7,0,0,0,0,1,-0.00037440896349530737,0.0006508294233583961
5:0,832,108,451,273,1,-0.00046801120437346813,0.0
5:1,860,165,532,163,1,-0.00046801120437284645,9.297563190945144e-05
5:2,799,269,438,92,1,-0.000468011204372229,0.00018595126381890288
5:3,787,317,349,121,1,-0.0004680112043716113,0.0002789268957283543
5:4,862,223,431,208,1,-0.0004680112043709938,0.00037190252763780575
5:5,866,193,414,259,1,-0.0004680112043703763,0.0004648781595472572
5:6,478,48,257,173,1,-0.0004680112043697587,0.0005578537914567086
5:7,0,0,0,0,1,-0.0004680112043691411,0.0006508294233661601
6:0,462,60,299,103,1,-0.0005616134452481068,0.0
6:1,534,75,335,124,1,-0.0005616134452473603,9.297563191080708e-05
6:2,517,65,309,143,1,-0.0005616134452466179,0.0001859512638216142
6:3,486,86,247,153,1,-0.0005616134452458754,0.00027892689573242127
6:4,468,127,196,145,1,-0.000561613445245133,0.0003719025276432284
6:5,466,113,181,172,1,-0.0005616134452443905,0.00046487815955403546
6:6,261,61,98,102,2,-0.0005616134452436481,0.0005578537914648425
6:7,0,0,0,0,2,-0.0005616134452429056,0.0006508294233756497
7:0,0,0,0,0,2,-0.0006552156861227151,0.0
7:1,0,0,0,0,2,-0.0006552156861218464,9.29756319124092e-05
7:2,0,0,0,0,2,-0.000655215686120979,0.0001859512638248184
7:3,0,0,0,0,2,-0.0006552156861201117,0.0002789268957372276
7:4,0,0,0,0,2,-0.0006552156861192443,0.0003719025276496368
7:5,0,0,0,0,2,-0.0006552156861183769,0.000464878159562046
7:6,0,0,0,0,2,-0.0006552156861175095,0.0005578537914744552
7:7,0,0,0,0,2,-0.0006552156861166421,0.0006508294233868643
